1,Ana García,20,8.5
2,Luis Fernández,22,6.7
3,María López,19,9.1
4,Javier Pérez,24,5.4
5,Lucía Martínez,21,7.8
6,Carlos Sánchez,23,4.9
7,Elena Gómez,20,9.8
8,David Díaz,25,6.2
9,Carmen Romero,22,7.1
10,Sergio Navarro,21,5.0
11,Laura Ortega,20,6.0
12,Pedro Ruiz,23,7.3
13,Sofía Castro,24,8.1
14,Hugo Molina,19,3.7
15,Paula Rubio,22,9.0
16,Adrián Santos,21,4.2
17,Noelia Prieto,25,6.9
18,Iván Blanco,23,7.6
19,Marta Vega,20,8.0
20,Diego León,24,5.8
21,Alicia Crespo,22,6.4
22,Tomás Herrera,21,7.9
23,Raquel Campos,23,8.9
24,Óscar Nieto,20,2.8
25,Clara Rivas,24,7.0
26,Gonzalo Soler,22,6.1
27,Nuria Marín,21,8.7
28,Rubén Iglesias,23,5.5
29,Irene Lozano,20,9.5
30,Pablo Rey,25,4.8
31,Sara Vidal,23,7.2
32,Alejandro Pardo,22,5.9
33,Natalia Suárez,21,8.3
34,Manuel Cabrera,24,6.6
35,Beatriz Duarte,20,7.4
36,Jorge Varela,23,6.3
37,Patricia Gil,22,8.2
38,Víctor Barrios,21,5.1
39,Andrea Costa,20,9.2
40,Daniela Arias,24,7.7
